[Aug 9 15:44:20] 
[Aug 9 15:44:20] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.13==
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/top-page-messages.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/db-test.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/system-validation-module.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/final-tests.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/params-module.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/new-admin-user.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/db-install.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/extraction-module.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/progress-bar.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/confirm-dialog.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/ajax-functions.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/site-replace-and-update.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/modules/package-deploy.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/scripts/step4-init.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/page-security-error.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/page-boot-error.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/page-secure.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/top-header-help.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/top-header.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/params/inline_helps/subsite_user_mode.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/params/inline_helps/user_mode.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/params/archive-action-notes.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/params/db-name-notes.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/params/extract-skip-notes.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/top-messages.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/reports/import_report.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/ajax-error.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/education/footer-cta.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/education/did-you-know-blurb.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/progress-bar.php >>> /home/ascania/ascania-cs.com.ua/www
